province,year,poverty_rate,fitted_pooled,fitted_fe,fitted_re,resid_fe
PAPUA,2021,22.475,23.816092864926723,19.752985422913206,22.114576184968115,-0.2544676345039907
PAPUA SELATAN,2021,23.105,23.816092864926723,19.752985422913206,22.114576184968115,0.18225559846018236
PAPUA TENGAH,2021,27.23,23.816092864926723,19.752985422913206,22.114576184968115,-0.202389019475417
PAPUA PEGUNUNGAN,2021,28.259999999999998,23.816092864926723,19.752985422913206,22.114576184968115,-0.06050922455016838
ACEH,2022,13.64,9.411482245882752,9.265774582597693,8.775496276589507,-0.03321158056703055
SUMATERA UTARA,2022,7.805,9.395082793160746,9.008746491001663,8.597126899862104,-0.13562057423554919
SUMATERA BARAT,2022,5.67,10.452063718030828,9.641578707859466,9.205650783245503,-0.1775047480080616
RIAU,2022,6.57,6.713444926593745,9.893451804922229,9.58716655888054,-0.06888331402518766
JAMBI,2022,7.4399999999999995,9.042553406861607,10.826263599674732,10.632533740293063,-0.09762568044505926
SUMATERA SELATAN,2022,11.205,8.908508659378981,10.909262237222435,10.704212768129487,-0.08834847441843152
BENGKULU,2022,13.57,9.895236737140962,10.535227994103813,10.382191986019421,0.055614101960845375
LAMPUNG,2022,11.094999999999999,10.873568096595065,11.800903584355684,11.784856168755049,-0.13019278083025831
KEP. BANGKA BELITUNG,2022,4.765000000000001,8.6296346803244,13.003563057883738,13.254705477782423,-0.20209644514675063
KEP. RIAU,2022,5.51,5.06762704673914,7.237973696315493,6.218605089705193,0.07077279100903056
DKI JAKARTA,2022,4.415,-1.6883712472510126,4.476599456800898,2.9176004984571193,-0.13487092408144719
JAWA BARAT,2022,7.57,8.546309957987212,9.498652203173535,8.796678881728731,-0.0004662434726014908
JAWA TENGAH,2022,10.254999999999999,10.138293320649346,11.013284459015914,10.570524056018051,-0.13918443688270976
DI YOGYAKARTA,2022,10.870000000000001,7.491713286288345,5.93088810801747,4.737294559067536,-0.1543320551101317
JAWA TIMUR,2022,9.97,9.488236051418852,10.522534916263098,9.958509944139408,-0.17614205435661745
BANTEN,2022,5.93,7.590214687973784,9.34424430781965,8.598097548703151,-0.15359307091194374
BALI,2022,4.1850000000000005,8.523116823339322,7.954784722042824,7.141779035414579,-0.06752540502542814
NUSA TENGGARA BARAT,2022,12.795,11.982882590837,11.95196966301005,11.811832674851253,-0.1755368086965241
NUSA TENGGARA TIMUR,2022,19.535,17.008804880873562,13.768804249543482,14.380090390387295,-0.19685809762808582
KALIMANTAN BARAT,2022,6.49,13.16187387530021,13.569339737771873,13.906250130762722,-0.18550527077772827
KALIMANTAN TENGAH,2022,5.27,7.76276249195972,10.808477410539886,10.653812145776513,-0.014740276272696917
KALIMANTAN SELATAN,2022,4.255,8.003849977916651,10.9009011534269,10.671197571178787,-0.11346417194800651
KALIMANTAN TIMUR,2022,5.91,6.164580115164398,8.451914937529715,7.741609395680435,-0.016746807896675264
KALIMANTAN UTARA,2022,6.074999999999999,9.735031860664776,12.013733035441764,12.221996767742894,-0.0767362254545425
SULAWESI UTARA,2022,6.99,5.315029974251317,7.845232809691588,7.040343657751549,-0.1295185610882612
SULAWESI TENGAH,2022,11.684999999999999,12.404167544067292,11.52460293574665,11.838784817719677,-0.11263995767413526
SULAWESI SELATAN,2022,8.2,7.956414731989575,9.160615104865052,8.565142132724638,-0.11878945135280539
SULAWESI TENGGARA,2022,10.9,9.3948684040868,9.194775818777941,8.904931507033261,-0.16238904552993105
