year,province,poverty_rate,local_moran_i,p_value,quadrant,significant,lon,lat
2023,LAMPUNG,10.864999999999998,0.02156255266057687,0.101,NS,False,105.322,-4.558
2023,MALUKU,16.1,0.19168454959416725,0.261,NS,False,128.175,-3.238
2023,MALUKU UTARA,6.245,-0.5008425146566521,0.09,NS,False,127.624,1.571
2023,NUSA TENGGARA BARAT,12.879999999999999,-0.06104149583249768,0.302,NS,False,116.419,-8.6
2023,NUSA TENGGARA TIMUR,19.490000000000002,-0.33611829520219727,0.298,NS,False,121.079,-8.657
2023,PAPUA,22.060000000000002,3.1828704745495835,0.001,HH,True,138.379,-4.269
2023,PAPUA BARAT,20.79,2.567884520461453,0.001,HH,True,133.173,-1.336
2023,PAPUA BARAT DAYA,18.72,0.7686335712974832,0.063,NS,False,131.5,-1.5
2023,PAPUA PEGUNUNGAN,27.845,4.4087912051510365,0.001,HH,True,138.6,-4.0
2023,PAPUA SELATAN,22.69,3.3318616269764907,0.001,HH,True,138.5,-6.5
2023,PAPUA TENGAH,26.815,4.213873192724494,0.001,HH,True,136.5,-3.5
2023,RIAU,6.52,0.36206947332351525,0.09,NS,False,101.447,0.293
2023,SULAWESI BARAT,11.100000000000001,0.0012432913196510295,0.344,NS,False,119.313,-2.84
2023,SULAWESI SELATAN,8.235,0.044304084553554765,0.414,NS,False,120.19,-3.668
2023,SULAWESI TENGAH,11.725,-0.010545293428411628,0.41,NS,False,121.445,-1.431
2023,SULAWESI TENGGARA,11.030000000000001,-0.0050362751558095135,0.26,NS,False,122.39,-4.145
2023,SULAWESI UTARA,7.04,-0.07619979105039197,0.389,NS,False,124.841,0.632
2023,SUMATERA BARAT,5.6850000000000005,0.4057346452763174,0.098,NS,False,100.355,-0.744
2023,SUMATERA SELATAN,11.145,-0.00012624939070824827,0.148,NS,False,104.761,-3.319
2023,SUMATERA UTARA,7.67,0.2866587023099061,0.079,NS,False,98.672,2.115
2024,ACEH,13.435,-0.2652449632290729,0.026,HL,True,95.317,4.695
2024,BALI,3.9,0.25287269706168797,0.28,NS,False,115.188,-8.409
2024,BANTEN,5.77,0.40317633857872737,0.09,NS,False,106.064,-6.406
2024,BENGKULU,13.04,-0.15380552884609267,0.119,NS,False,102.346,-3.8
2024,DI YOGYAKARTA,10.615,0.023791175397109357,0.083,NS,False,110.365,-7.8
2024,DKI JAKARTA,4.22,0.4988224650797049,0.092,NS,False,106.845,-6.208
2024,GORONTALO,14.219999999999999,-0.09823269500664962,0.373,NS,False,122.446,0.541
2024,JAMBI,7.18,0.23398486524470544,0.153,NS,False,102.437,-1.609
2024,JAWA BARAT,7.27,0.22460028101353993,0.16,NS,False,107.619,-6.902
2024,JAWA TENGAH,10.025,0.06972672510485586,0.095,NS,False,110.165,-7.15
2024,JAWA TIMUR,9.675,0.07756020714045109,0.159,NS,False,112.752,-7.536
2024,KALIMANTAN BARAT,6.285,0.38861269567188184,0.069,NS,False,109.697,-0.023
2024,KALIMANTAN SELATAN,4.0649999999999995,0.48246083413909535,0.123,NS,False,115.283,-3.093
2024,KALIMANTAN TENGAH,5.215,0.5767157052523312,0.027,LL,True,113.941,-1.681
2024,KALIMANTAN TIMUR,5.645,0.41802183765013756,0.084,NS,False,116.419,1.681
2024,KALIMANTAN UTARA,5.85,0.3401668217141659,0.144,NS,False,116.593,3.073
2024,KEPULAUAN BANGKA BELITUNG,4.8149999999999995,0.4535738895063103,0.089,NS,False,106.116,-2.741
2024,KEPULAUAN RIAU,5.075,0.5326885063920501,0.045,LL,True,104.03,0.921
2024,LAMPUNG,10.655,0.01861505751959153,0.104,NS,False,105.322,-4.558
2024,MALUKU,15.915,0.19772474409241628,0.266,NS,False,128.175,-3.238
2024,MALUKU UTARA,6.175000000000001,-0.47450465803614894,0.083,NS,False,127.624,1.571
2024,NUSA TENGGARA BARAT,12.41,-0.049297211921928034,0.338,NS,False,116.419,-8.6
2024,NUSA TENGGARA TIMUR,19.25,-0.32789583164637187,0.335,NS,False,121.079,-8.657
2024,PAPUA,17.675,1.9830209069338967,0.001,HH,True,138.379,-4.269
2024,PAPUA BARAT,21.375,2.764938003913882,0.001,HH,True,133.173,-1.336
2024,PAPUA BARAT DAYA,17.54,0.7613609378605136,0.048,HH,True,131.5,-1.5
2024,PAPUA PEGUNUNGAN,31.314999999999998,4.679551437621592,0.001,HH,True,138.6,-4.0
2024,PAPUA SELATAN,18.395000000000003,2.16876461667772,0.001,HH,True,138.5,-6.5
2024,PAPUA TENGAH,28.68,4.293935803678155,0.001,HH,True,136.5,-3.5
2024,RIAU,6.515000000000001,0.32665868590885333,0.095,NS,False,101.447,0.293
2024,SULAWESI BARAT,10.96,-0.001532743614361277,0.37,NS,False,119.313,-2.84
2024,SULAWESI SELATAN,7.915,0.041248060260341356,0.433,NS,False,120.19,-3.668
2024,SULAWESI TENGAH,11.405,-0.008245855223615064,0.435,NS,False,121.445,-1.431
2024,SULAWESI TENGGARA,10.920000000000002,0.0006342378455864504,0.261,NS,False,122.39,-4.145
2024,SULAWESI UTARA,6.975,-0.075347299338037,0.377,NS,False,124.841,0.632
2024,SUMATERA BARAT,5.695,0.3677359756581829,0.104,NS,False,100.355,-0.744
2024,SUMATERA SELATAN,10.74,0.010075636578197785,0.174,NS,False,104.761,-3.319
2024,SUMATERA UTARA,7.59,0.2571919252935057,0.078,NS,False,98.672,2.115
